NC,NN,MC,MN,V,D1C,D1N,D2C,D2N,D3C,D3N
Nível Territorial (Código),Nível Territorial,Unidade de Medida (Código),Unidade de Medida,Valor,Brasil (Código),Brasil,Variável (Código),Variável,Mês (Código),Mês
1,Brasil,2,%,0.71,1,Brasil,63,IPCA - Variação mensal,200111,novembro 2001
1,Brasil,2,%,0.65,1,Brasil,63,IPCA - Variação mensal,200112,dezembro 2001
1,Brasil,2,%,0.52,1,Brasil,63,IPCA - Variação mensal,200201,janeiro 2002
1,Brasil,2,%,0.36,1,Brasil,63,IPCA - Variação mensal,200202,fevereiro 2002
1,Brasil,2,%,0.60,1,Brasil,63,IPCA - Variação mensal,200203,março 2002
1,Brasil,2,%,0.80,1,Brasil,63,IPCA - Variação mensal,200204,abril 2002
1,Brasil,2,%,0.21,1,Brasil,63,IPCA - Variação mensal,200205,maio 2002
1,Brasil,2,%,0.42,1,Brasil,63,IPCA - Variação mensal,200206,junho 2002
1,Brasil,2,%,1.19,1,Brasil,63,IPCA - Variação mensal,200207,julho 2002
1,Brasil,2,%,0.65,1,Brasil,63,IPCA - Variação mensal,200208,agosto 2002
1,Brasil,2,%,0.72,1,Brasil,63,IPCA - Variação mensal,200209,setembro 2002
1,Brasil,2,%,1.31,1,Brasil,63,IPCA - Variação mensal,200210,outubro 2002
1,Brasil,2,%,3.02,1,Brasil,63,IPCA - Variação mensal,200211,novembro 2002
1,Brasil,2,%,2.10,1,Brasil,63,IPCA - Variação mensal,200212,dezembro 2002
1,Brasil,2,%,2.25,1,Brasil,63,IPCA - Variação mensal,200301,janeiro 2003
1,Brasil,2,%,1.57,1,Brasil,63,IPCA - Variação mensal,200302,fevereiro 2003
1,Brasil,2,%,1.23,1,Brasil,63,IPCA - Variação mensal,200303,março 2003
1,Brasil,2,%,0.97,1,Brasil,63,IPCA - Variação mensal,200304,abril 2003
1,Brasil,2,%,0.61,1,Brasil,63,IPCA - Variação mensal,200305,maio 2003
1,Brasil,2,%,-0.15,1,Brasil,63,IPCA - Variação mensal,200306,junho 2003
1,Brasil,2,%,0.20,1,Brasil,63,IPCA - Variação mensal,200307,julho 2003
